class,rank,feature,coefficient,absolute_coefficient
5,2,y8,1.3744325399885131,1.3744325399885131
5,3,y7,1.1968382452498298,1.1968382452498298
5,4,x20,-1.05536831326479,1.05536831326479
5,5,y15,-0.9004948318517948,0.9004948318517948
6,1,x12,-1.1383461550250151,1.1383461550250151
6,2,x17,1.0050789321991511,1.0050789321991511
6,3,x20,0.8944882418666203,0.8944882418666203
6,4,x13,0.8813018545665487,0.8813018545665487
6,5,x16,0.7789148688659002,0.7789148688659002
7,1,x12,1.6721006501168,1.6721006501168
7,2,x11,1.2727873608496403,1.2727873608496403
7,3,y12,-1.17493748274454,1.17493748274454
7,4,y11,-1.0431258985414669,1.0431258985414669
7,5,x13,0.8599766853354545,0.8599766853354545
8,1,y20,-1.9930167024094294,1.9930167024094294
8,2,y7,1.409363440772711,1.409363440772711
8,3,y11,1.3804654527499778,1.3804654527499778
8,4,y19,-1.30576833617224,1.30576833617224
8,5,x20,1.239567039171573,1.239567039171573
9,1,y6,1.091597761669101,1.091597761669101
9,2,y0,-1.0003406608407337,1.0003406608407337
9,3,y10,0.9539276975898309,0.9539276975898309
9,4,y1,-0.8587258820601201,0.8587258820601201
9,5,y20,0.800651846557031,0.800651846557031
